Raw Coincidences (AB) - Plot 0,Expected Statistical Correction (AB) - Plot 0
31,17.2
18,17.4
29,17.2
18,17.4
17,17
32,17.1
21,17.3
16,17.2
18,17.4
19,17.2
23,17.4
16,17.3
17,17.1
19,17.1
24,17.4
22,17.2
21,17
17,17.3
15,17.4
27,17.3
24,17.1
16,17.2
24,17.4
17,16.9
25,17.1
15,17.1
