Raw Coincidences (AB) - Plot 0,Expected Statistical Correction (AB) - Plot 0
177,37.7
200,38.1
187,38.2
191,38.3
179,38
187,37.8
199,37.8
186,37.7
194,37.6
197,37.6
161,36.5
180,35.3
182,35.5
174,35.3
194,35.1
168,35.3
175,35.6
175,35.1
179,35.8
192,35.7
197,35.6
169,35.4
204,35.4
180,35.4
174,35.5
178,35.3
184,35.4
170,35.5
178,35.3
168,35.5
186,35.5
177,35.9
192,37
172,35.5
195,35.3
175,35.1
171,35.2
158,35.3
