Raw Coincidences (AB) - Plot 0,Expected Statistical Correction (AB) - Plot 0
44,20
43,20
39,20.2
32,20.3
39,20
36,19.5
24,18.6
33,18.6
38,18.5
40,19
28,20.2
46,20.1
37,20
42,20.1
