Raw Coincidences (AB) - Plot 0,Expected Statistical Correction (AB) - Plot 0
23,18.7
26,19.1
25,18.9
21,18.8
23,19.1
21,19.1
18,18.8
21,19.3
24,19.3
20,18.8
26,19.1
16,19.2
