Raw Coincidences (AB) - Plot 0,Expected Statistical Correction (AB) - Plot 0
21,19.2
22,19.4
24,19.5
22,19.7
31,19.4
20,19.5
36,19.2
32,19.5
31,19.5
24,19.3
21,19.5
29,19.3
25,19.3
