voltage (V), current (uA)
10, 0.00
20, 0.14
30, 0.28
40, 0.38
50, 0.46
60, 0.51
70, 0.58
80, 0.63
90, 0.69
100, 0.75
110, 0.80
120, 0.86
130, 0.92
140, 0.98
150, 1.06
160, 1.16
170, 1.31
180, 1.50
190, 1.76
