voltage (V), current (uA)
10, 0.00
20, 0.14
30, 0.29
40, 0.39
50, 0.46
60, 0.51
70, 0.58
80, 0.64
90, 0.70
100, 0.75
110, 0.81
120, 0.87
130, 0.93
140, 0.99
150, 1.06
160, 1.17
170, 1.31
180, 1.49
190, 1.76
